Product_id,Product_name,Product_price
498489,[Elemental Token] [SGL-MTG-THB-T08-ENN],0.25
499928,[Elemental Token] | [Human Soldier Token] [SGL-MTG-THB-T08T02-ENF],0.99
499955,[Elemental Token] | [Satyr Token] [SGL-MTG-THB-T08T09-ENF],0.99
498490,[Goat Token] [SGL-MTG-THB-T01-ENN],0.25
499960,[Goat Token] | [Human Soldier Token] [SGL-MTG-THB-T01T02-ENF],0.99
499965,[Goat Token] | [Satyr Token] [SGL-MTG-THB-T01T09-ENF],0.99
498491,[Gold Token] [SGL-MTG-THB-T13-ENN],0.25
499969,[Gold Token] | [Human Soldier Token] [SGL-MTG-THB-T13T02-ENF],0.99
499973,[Gold Token] | [Satyr Token] [SGL-MTG-THB-T13T09-ENF],0.99
498492,[Human Soldier Token] [SGL-MTG-THB-T02-ENN],0.25
498493,[Kraken Token] [SGL-MTG-THB-T04-ENN],0.49
499977,[Kraken Token] | [Human Soldier Token] [SGL-MTG-THB-T04T02-ENF],1.49
499981,[Kraken Token] | [Satyr Token] [SGL-MTG-THB-T04T09-ENF],1.49
498494,[Nightmare Token] [SGL-MTG-THB-T12-ENN],0.49
499987,[Nightmare Token] | [Human Soldier Token] [SGL-MTG-THB-T12T02-ENF],1.49
499994,[Nightmare Token] | [Satyr Token] [SGL-MTG-THB-T12T09-ENF],1.49
498495,[Pegasus Token] [SGL-MTG-THB-T03-ENN],0.25
499998,[Pegasus Token] | [Human Soldier Token] [SGL-MTG-THB-T03T02-ENF],0.99
500006,[Pegasus Token] | [Satyr Token] [SGL-MTG-THB-T03T09-ENF],0.99
498496,[Reflection Token] [SGL-MTG-THB-T05-ENN],0.25
500016,[Reflection Token] | [Human Soldier Token] [SGL-MTG-THB-T05T02-ENF],0.99
500020,[Reflection Token] | [Satyr Token] [SGL-MTG-THB-T05T09-ENF],0.99
498497,[Satyr Token] [SGL-MTG-THB-T09-ENN],0.25
498498,[Spider Token] [SGL-MTG-THB-T10-ENN],0.25
500024,[Spider Token] | [Human Soldier Token] [SGL-MTG-THB-T10T02-ENF],0.99
500027,[Spider Token] | [Satyr Token] [SGL-MTG-THB-T10T09-ENF],1.49
498499,[Tentacle Token] [SGL-MTG-THB-T06-ENN],0.25
500030,[Tentacle Token] | [Human Soldier Token] [SGL-MTG-THB-T06T02-ENF],0.99
500034,[Tentacle Token] | [Satyr Token] [SGL-MTG-THB-T06T09-ENF],0.99
498500,[Wall Token] [SGL-MTG-THB-T14-ENN],0.25
500039,[Wall Token] | [Human Soldier Token] [SGL-MTG-THB-T14T02-ENF],0.99
500043,[Wall Token] | [Satyr Token] [SGL-MTG-THB-T14T09-ENF],0.99
498501,[Wolf Token] [SGL-MTG-THB-T11-ENN],0.25
500048,[Wolf Token] | [Human Soldier Token] [SGL-MTG-THB-T11T02-ENF],0.99
500051,[Wolf Token] | [Satyr Token] [SGL-MTG-THB-T11T09-ENF],0.99
498502,[Zombie Token] [SGL-MTG-THB-T07-ENN],0.25
500057,[Zombie Token] | [Human Soldier Token] [SGL-MTG-THB-T07T02-ENF],0.99
